InternKrz|StatistikKrz|Bezeichnung|BezeichnungZeugnis|BezeichnungÜZeugnis|Unterrichtsprache|Sortierung S1|Sortierung S2|Gewichtung
D|D|Deutsch|Deutsch|Deutsch|D|10|10|1
E|E|Englisch|Englisch|Englisch|D|20|20|1
F6|F6|Französisch, Beginn in Jahrgangsklasse6|Französisch|Französisch ab Kl. 6||30|30|1
F7|F7|Französisch, Beginn in Jahrgangsklasse 7|Französisch|Französisch ab Kl. 7||40|40|1
L6|L6|Lateinisch, Beginn in Jahrgangsklasse 6|Latein|Latein ab Kl. 6||50|50|1
L7|L7|Lateinisch, Beginn in Jahrgangsklasse 7|Latein|Latein ab Kl. 7||60|60|1
I0|I0|Italienisch, Beginn in der Einführungsphase|Italienisch|Italienisch||70|70|1
I1|I1|Italienisch, Beginn in Jahrgangsklasse 11|Italienisch, Beginn in Jahrgangsklasse 11|Italienisch, Beginn in Jahrgangsklasse 11||80|80|1
KU|KU|Kunst|Kunst|Kunst|D|90|90|1
MU|MU|Musik|Musik|Musik|D|100|100|1
LI|LI|Literatur|Literatur|Literatur|D|110|110|1
GE|GE|Geschichte|Geschichte|Geschichte|D|120|120|1
EK|EK|Erdkunde|Erdkunde|Erdkunde|D|130|130|1
SW|SW|Sozialwissenschaften|Sozialwissenschaften|Sozialwissenschaften|D|140|140|1
PL|PL|Philosophie|Philosophie|Philosophie|D|150|150|1
PK|PK|Politik|Politik|Politik||160|450|1
PP|PP|Praktische Philosophie|Praktische Philosophie|Praktische Philosophie||170|310|1
KR|KR|Kath. Religionslehre|Religionslehre|Religionslehre|D|180|160|1
ER|ER|Evangel. Religionslehre|Religionslehre|Religionslehre|D|190|170|1
AR|AR|Alevitische Religionslehre nach den Grundsätzen des AABF|Religionslehre|Religionslehre||200|180|1
M|M|Mathematik|Mathematik|Mathematik|D|210|190|1
BI|BI|Biologie|Biologie|Biologie|D|220|200|1
PH|PH|Physik|Physik|Physik|D|230|210|1
CH|CH|Chemie|Chemie|Chemie|D|240|220|1
IF|IF|Informatik|Informatik|Informatik|D|250|230|1
SP|SP|Sport|Sport|Sport|D|260|240|1
F8|F8|Französisch, Beginn in Jahrgangsklasse 8|Französisch|Französisch ab Kl. 8||270|290|1
F9|F9|Französisch, Beginn in Jahrgangsklasse 9|Französisch ab Kl. 9|Französisch ab Kl. 9||280|300|1
WP2 IF|IF|WP2 Informatik|Informatik|Informatik||290|370|1
DS|DS|Darstellen und Gestalten|Darstellen und Gestalten|Darstellen und Gestalten||295|32000|1
WP2 EA|KU|WP2 English in Action|English in Action|English in Action||300|320|1
WP2 GP|GE|WP2 Geschichte/Politik|Geschichte/Politik|Geschichte/Politik||310|350|1
WP2 DS|KU|WP2 Design und Architektur|Design und Architektur|Design und Architektur||320|330|1
WP2 MU|MU|WP2 Musik|Musik|Musik||330|340|1
WP2 KU|KU|WP2 Kunst|Kunst|Kunst||340|360|1
WP2 EK|EK|WP2 Erdkunde|Erdkunde|Erdkunde||350|380|1
WP2 PH|PH|WP2 Himmelsphysik|Himmelsphysik|Himmelsphysik||360|390|1
SOL|PA|Projekt Soziales Lernen|Projekt Soziales Lernen|Projekt Soziales Lernen||370|400|1
DIGI|IF|Digitale Grundbildung|Digitale Grundbildung|Digitale Grundbildung||380|1350|1
VKD|VX|Vertiefungskurs Deutsch|Vertiefungskurs Deutsch|Vertiefungskurs Deutsch||390|250|1
VKE|VX|Vertiefungskurs Englisch|Vertiefungskurs Englisch|Vertiefungskurs Englisch||400|260|1
VKM|VX|Vertiefungskurs Mathematik|Vertiefungskurs Mathematik|Vertiefungskurs Mathematik||410|270|1
PKBI|PX|Projektkurs Biologie|Projektkurs Biologie|Projektkurs Biologie||420|280|1
AG D|D|AG Deutsch|AG Deutsch|AG Deutsch||430|1210|1
AG E|E|AG Englisch|AG Englisch|AG Englisch||440|1200|1
AG L|L6|AG Latein|AG Latein|AG Latein||450|1160|1
AG F|F6|AG Französisch|AG Französisch|AG Französisch||460|1100|1
AG MU|MU|AG Musik|AG MU|AG MU||470|1110|1
AG KU|KU|AG Kunst|AG Kunst|AG Kunst||480|1120|1
AG PK|PK|AG Politik|AG Politik|AG Politik||490|1130|1
