KursBez|Klasse|Jahr|Abschnitt|Jahrgang|Fach|Kursart|Wochenstd.|Wochenstd. KL|Kursleiter|Epochenunterricht|Schulnr
D-G2||2021|1|Q2|D|GK|135|135|STAR||
D-G2||2021|1|Q1|D|GK|135|135|FRE1||
D-G1||2021|1|Q1|D|GK|135|135|GYRU||
D-L1||2021|1|Q2|D|LK|225|225|MOMS||
D-G1||2021|1|Q2|D|GK|135|135|GYRU||
D-L2||2021|1|Q2|D|LK|225|225|CZAR||
E-G1||2021|1|Q1|E|GK|135|135|SPIE||
E-G1||2021|1|Q2|E|GK|135|135|GRÜN||
E-L1||2021|1|Q2|E|LK|225|225|FUNK||
E-L2||2021|1|Q2|E|LK|225|225|KIßL||
E-G2||2021|1|Q2|E|GK|135|135|DODS||
E-G2||2021|1|Q1|E|GK|135|135|MANS||
F-G1||2021|1|Q2|F6|GK|135|135|BRÜS||
F6-2||2021|1|EF|F6|WPI|135|135|DÜBG||
F-G1||2021|1|Q1|F6|GK|135|135|BURK||
F6-1||2021|1|EF|F6|WPI|135|135|BRÜS||
F6-2||2021|1|09|F6|WPI|135|135|BURK||
F6-1||2021|1|09|F6|WPI|135|135|BRÜS||
L6-2||2021|1|09|L6|WPI|135|135|SPIE||
L6-1||2021|1|EF|L6|WPI|135|135|SPIE||
L6-1||2021|1|09|L6|WPI|135|135|BELE||
L6-2||2021|1|EF|L6|WPI|135|135|BELE||
L-G1||2021|1|Q1|L6|GK|135|135|SPIE||
I-G1||2021|1|Q2|I0|GK|135|135|RUTI||
I-G1||2021|1|Q1|I0|GK|135|135|BRÜS||
KU-G1||2021|1|Q1|KU|GK|135|135|REDE||
KU-G1||2021|1|Q2|KU|GK|135|135|MALE||
KU-G2||2021|1|Q2|KU|GK|135|135|DÜBG||
MU-G1||2021|1|Q1|MU|GK|135|135|GYRU||
MU-G1||2021|1|Q2|MU|GK|135|135|GYRU||
PP 1||2021|1|06|PP|PUT|135|135|BERQ||
LI-G1||2021|1|Q2|LI|GK|135|135|BERQ||
KR 1||2021|1|06|KR|PUT|135|135|DODS||
GE-G2||2021|1|Q1|GE|GK|135|135|PUTT||
ER 1||2021|1|06|ER|PUT|135|135|CRUM||
GE-L1||2021|1|Q2|GE|LK|225|225|HEYL||
GE-G1||2021|1|Q1|GE|GK|135|135|BROD||
GE-G1||2021|1|Q2|GE|GK|135|135|BROD||
GE-G2||2021|1|Q2|GE|GK|135|135|BROD||
EK-G1||2021|1|Q2|EK|GK|135|135|STAR||
EK-L1||2021|1|Q2|EK|LK|225|225|ZUMF||
EK-G1||2021|1|Q1|EK|GK|135|135|STAR||
EK-G2||2021|1|Q1|EK|GK|135|135|ZUMF||
